序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
4,华泰证券股份有限公司上海徐汇区天钥桥路证券营业部,0.0,0.0,4400139.2,0.010780329559,-4400139.2,当日换手率达到20%的前5只股票,920088,科力股份
5,财信证券股份有限公司温州车站大道证券营业部,786597.48,0.001927161774,3604250.59,0.008830404541,-2817653.11,当日换手率达到20%的前5只股票,920088,科力股份
6,中信证券(山东)有限责任公司青岛连云港路证券营业部,7056.99,1.7289607e-05,18474814.58,0.045263247516,-18467757.59,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
7,东方财富证券股份有限公司拉萨团结路第二证券营业部,3118828.08,0.007641120658,5178657.81,0.012687698122,-2059829.73,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
8,东方财富证券股份有限公司拉萨团结路第一证券营业部,3031355.13,0.007426812159,4929691.92,0.012077732341,-1898336.79,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
9,华泰证券股份有限公司上海徐汇区天钥桥路证券营业部,0.0,0.0,4400139.2,0.010780329559,-4400139.2,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
10,财信证券股份有限公司温州车站大道证券营业部,786597.48,0.001927161774,3604250.59,0.008830404541,-2817653.11,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
1,平安证券股份有限公司深圳金田路证券营业部,7798206.79,0.01866893137,264686.53,0.000633660378,7533520.26,当日换手率达到20%的前5只股票,920128,胜业电气
2,东方财富证券股份有限公司拉萨东环路第二证券营业部,5839077.43,0.013978769573,2686026.36,0.006430355481,3153051.07,当日换手率达到20%的前5只股票,920128,胜业电气
3,国金证券股份有限公司深圳分公司,5608038.19,0.013425660912,12616233.0,0.030203301139,-7008194.81,当日换手率达到20%的前5只股票,920128,胜业电气
4,东方财富证券股份有限公司山南香曲东路证券营业部,5048717.76,0.012086646059,363305.03,0.000869753375,4685412.73,当日换手率达到20%的前5只股票,920128,胜业电气
5,平安证券股份有限公司福州长乐北路证券营业部,4915052.7,0.011766651489,301158.68,0.000720974819,4613894.02,当日换手率达到20%的前5只股票,920128,胜业电气
1,国金证券股份有限公司深圳分公司,5608038.19,0.013425660912,12616233.0,0.030203301139,-7008194.81,当日换手率达到20%的前5只股票,920128,胜业电气
2,国信证券股份有限公司深圳互联网分公司,3982765.4,0.009534752786,12477224.49,0.029870514332,-8494459.09,当日换手率达到20%的前5只股票,920128,胜业电气
3,国投证券股份有限公司柳州晨华路证券营业部,0.0,0.0,7437785.36,0.017806081342,-7437785.36,当日换手率达到20%的前5只股票,920128,胜业电气
4,东吴证券股份有限公司苏州西北街证券营业部,2613275.0,0.006256188498,7077697.28,0.016944029356,-4464422.28,当日换手率达到20%的前5只股票,920128,胜业电气
5,申万宏源证券有限公司北京东四环中路证券营业部,0.0,0.0,6551822.48,0.015685083445,-6551822.48,当日换手率达到20%的前5只股票,920128,胜业电气
1,机构专用,23030010.96,0.029854703669,27315852.52,0.035410607658,-4285841.56,当日换手率达到20%的前5只股票,920161,龙辰科技
