序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
52,002896,中大力德,2026-06-05,1家机构买入，成功率58.52%,86.77,10.0025,287489646.47,439862721.17,152373074.7,592235795.87,2351434358,12.226139568468,25.186150481093,14.6117,17052272075.9,日涨幅偏离值达到7%的前5只证券,9.7153394,4.51769045,,
54,002951,金时科技,2026-06-05,主力做T，成功率45.77%,22.31,-10.004,-13438600.0,32850659.0,46289259.0,79139918.0,360313545,-3.729696034602,21.964180669367,3.9149,8949085921.75,日跌幅偏离值达到7%的前5只证券,-9.99551771,-18.96010758,,
57,002969,嘉美包装,2026-06-05,4家机构卖出，成功率29.02%,16.79,-9.9732,-64517641.79,153314041.29,217831683.08,371145724.37,2056006648,-3.138007450159,18.051776473147,10.2034,18347024746.76,日振幅值达到15%的前5只证券,-10.00595593,-5.47945205,,
58,002969,嘉美包装,2026-06-05,4家机构卖出，成功率29.02%,16.79,-9.9732,-64517641.79,153314041.29,217831683.08,371145724.37,2056006648,-3.138007450159,18.051776473147,10.2034,18347024746.76,日跌幅偏离值达到7%的前5只证券,-10.00595593,-5.47945205,,
62,003033,征和工业,2026-06-05,3家机构卖出，成功率24.15%,60.57,-10.0,-46207456.0,20540250.0,66747706.0,87287956.0,255882197,-18.058097257935,34.11255531779,5.1689,4890642395.94,日跌幅偏离值达到7%的前5只证券,-8.7006769,-6.12514446,,
63,003036,泰坦股份,2026-06-05,4家机构买入，成功率29.94%,82.35,10.0053,-745728.060000002,390538560.74,391284288.8,781822849.54,2107067846,-0.035391744097,37.104778141064,7.5866,17811134641.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.5324833,-0.48573163,,
64,113701,祥和转债,2026-06-05,,196.875,12.509,1911580.0,1023230230.0,1021318650.0,2044548880.0,5541725020,0.034494313469,36.893726639652,,,连续3个交易日内日收盘价格涨幅偏离值达到30%的可转债,,,,
67,300162,雷曼光电,2026-06-05,4家机构买入，成功率47.78%,10.52,19.9544,128728994.88,193281455.0,64552460.12,257833915.12,845266236,15.229402216416,30.503278628534,25.7096,3599541925.6,日涨幅达到15%的前5只证券,2.85171103,4.27756654,,
68,300319,麦捷科技,2026-06-05,3家机构买入，成功率46.18%,22.28,14.4325,447041847.6,1933650989.86,1486609142.26,3420260132.12,12915342227,3.46132405741,26.482148688014,31.9486,18777088448.24,连续三个交易日内，涨幅偏离值累计达到30%的证券,3.85996409,9.36188308,,
69,300319,麦捷科技,2026-06-05,2家机构买入，成功率49.10%,22.28,14.4325,432503462.9,1113780138.67,681276675.77,1795056814.44,5888923639,7.344355087842,30.481916976339,31.9486,18777088448.24,日换手率达到30%的前5只证券,3.85996409,9.36188308,,
70,300334,津膜科技,2026-06-05,3家机构买入，成功率46.70%,9.01,19.9734,14139483.6,79789920.6,65650437.0,145440357.6,300351533,4.707644891561,48.423377815754,11.6089,2721288146.61,日涨幅达到15%的前5只证券,10.32186459,14.87236404,,
71,300353,东土科技,2026-06-05,2家机构买入，成功率47.67%,21.94,20.0219,194710283.31,371478989.61,176768706.3,548247695.91,1493510497,13.037088370059,36.708660368391,13.1746,11848943759.18,日涨幅达到15%的前5只证券,-0.45578851,2.50683683,,
72,300561,汇金科技,2026-06-05,主力做T，成功率25.93%,14.68,-10.9763,-123369467.35,97244138.93,220613606.28,317857745.21,1904815393,-6.476715161132,16.687063028685,13.4903,3538725186.32,连续三个交易日内，跌幅偏离值累计达到30%的证券,-2.52043597,-5.17711172,,
73,300626,华瑞股份,2026-06-05,3家机构买入，成功率41.56%,40.3,20.0119,48786331.4,160781125.0,111994793.6,272775918.6,484361487,10.072297800176,56.316599465721,7.1898,7250031457.5,日涨幅达到15%的前5只证券,2.28287841,-9.23635798,,
79,301188,力诺药包,2026-06-05,5家机构买入，成功率17.96%,54.69,0.275,-7340243.12,663178510.61,670518753.73,1333697264.34,5086346804,-0.144312674752,26.221123248835,13.1902,14631577474.35,连续三个交易日内，涨幅偏离值累计达到30%的证券,-3.8946791,-2.17262374,,
81,301193,家联科技,2026-06-05,3家机构买入，成功率41.42%,24.25,19.9901,15209561.57,86490240.54,71280678.97,157770919.51,391956460,3.880421200355,40.252154412763,9.4228,4466399168.25,日涨幅达到15%的前5只证券,-4.32989691,-6.4742268,,
82,301303,真兰仪表,2026-06-05,3家机构买入，成功率42.37%,16.88,13.7466,1529549.88000001,102375506.04,100845956.16,203221462.2,612915942,0.249552960722,33.156498024325,35.2933,1725136000.0,日换手率达到30%的前5只证券,1.18483412,-7.64218009,,
84,301329,信音电子,2026-06-05,3家机构卖出，成功率29.84%,29.61,-9.4218,-23811180.86,44146290.1,67957470.96,112103761.06,571650375,-4.165339847805,19.610546229415,31.8002,1774941840.0,日换手率达到30%的前5只证券,-11.58392435,-11.34751773,,
86,301418,协昌科技,2026-06-05,3家机构买入，成功率33.61%,47.45,8.1605,-14223586.21,53841680.0,68065266.21,121906946.21,480530236,-2.959977363422,25.369256100255,37.0892,1396754048.3,日换手率达到30%的前5只证券,-3.94099052,2.65542677,,
88,301528,多浦乐,2026-06-05,4家机构买入，成功率36.61%,91.75,13.6223,7397195.75000002,138568682.27,131171486.52,269740168.79,737558091,1.002930594927,36.572057453031,14.9048,2926909318.25,连续三个交易日内，涨幅偏离值累计达到30%的证券,-1.78746594,-5.38419619,,
89,301563,云汉芯城,2026-06-05,3家机构卖出，成功率57.07%,218.01,-2.7826,63975308.69,233657614.69,169682306.0,403339920.69,1298356086,4.92740854222,31.065431512908,30.4353,4171772866.95,日换手率达到30%的前5只证券,-11.83890647,-6.07311591,,
92,600063,皖维高新,2026-06-05,普通席位买入，成功率52.01%,8.22,10.0402,88162979.66,279017985.29,190855005.63,469872990.92,2463355169,3.578979627846,19.074512552355,14.8461,17008055010.78,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,-6.32603406,-3.16301703,,
96,600255,鑫科材料,2026-06-05,普通席位卖出，成功率46.30%,4.49,-7.0393,248372394.98,388488956.24,140116561.26,528605517.5,2694713110,9.217025517793,19.616393134333,32.5445,8109599827.95,有价格涨跌幅限制的日换手率达到20%的前五只证券,2.67260579,-0.66815145,,
98,600280,中央商场,2026-06-05,普通席位卖出，成功率43.07%,3.4,-5.2925,1400271.78,50353460.19,48953188.41,99306648.6,715352715,0.195745644161,13.882193569364,17.4156,3836338279.2,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,10.0,0.58823529,,
100,600293,三峡新材,2026-06-05,普通席位买入，成功率55.19%,3.96,10.0,-35260660.36,92257557.4,127518217.76,219775775.16,1088902218,-3.238184271932,20.183242492027,18.1376,4594174382.16,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,4.29292929,1.76767677,,
102,600303,曙光股份,2026-06-05,买一主买，成功率50.56%,3.47,10.1587,9458299.4,39949727.4,30491428.0,70441155.4,262269161,3.606333037379,26.858344736917,11.7562,2350967372.17,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,-1.44092219,-1.72910663,,
103,600310,广西能源,2026-06-05,卖一主卖，成功率45.49%,5.66,-10.0159,-109995556.08,92985911.11,202981467.19,295967378.3,1385000310,-7.941915628885,21.369481014773,16.0845,8295922686.52,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,-7.59717314,-9.72954922,,
105,600382,广东明珠,2026-06-05,普通席位买入，成功率48.55%,9.68,10.0,124922496.29,214707220.13,89784723.84,304491943.97,1244846426,10.035173309804,24.460201484324,10.9129,6721870301.52,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,-10.02066116,-13.32644628,,
